systematic_name,true,prediction
YAL009W,0.1179257,
YAL011W,0.1267123,
YAL013W,0.2180447,
YAL015C,0.1321205,
YAL017W,0.037,
YAL019W,0.0390341,
YAL021C,0.1658972,
YAL024C,0.1265548,
YAL039C,0.1595098,0.085907518997485
YAL040C,-0.0482305,
YAL044W-A,0.0646185,
YAL046C,0.0767754,
YAL051W,-0.0496801,
YAL053W,0.0949969,
YAL054C,-0.0147779,
YAL055W,0.0187366,
YAL059W,0.1355976,
YAR002W,0.2456229,
YAR003W,0.0192362,0.0859076013650661
YAR018C,0.1271,0.0859076013650662
YAR035W,-0.0167332,0.0859076013650662
YAR042W,-0.06,
YBL002W,-0.0588829,
YBL003C,0.0578045,
YBL005W,-0.0544622,
YBL006C,-0.0197477,
YBL007C,0.4515932,
YBL008W,-0.0443397,0.0859076013650662
YBL009W,0.0156,
YBL010C,0.0304775,
YBL016W,0.2685,0.0859076013650662
YBL019W,0.0739596,
YBL021C,-0.1077036,
YBL024W,0.1061165,
YBL028C,-0.0126059,0.0858993774930925
YBL039C,0.1834106,
YBL047C,0.1366049,
YBL051C,0.110619,
YBL052C,-0.012,
YBL054W,0.0213165,
YBL055C,-0.004319,
YBL056W,-0.0408,
YBL057C,-0.0191723,0.0859075189974847
YBL063W,-0.0608407,
YBL066C,-0.0314352,
YBL067C,-0.0045155,
YBL079W,0.6044644,
YBL080C,0.0185662,
YBL088C,0.0025,0.0859075189974849
YBL103C,0.3162594,0.0859076013650661
YBR009C,0.069137,0.0859076013650662
YBR010W,0.0541914,
YBR028C,0.0032,
YBR033W,-0.0080293,
YBR034C,0.0037249,
YBR057C,0.0869309,
YBR058C,0.0574503,
YBR059C,0.0498,
YBR062C,0.034,
YBR065C,-0.0045909,
YBR066C,0.0,0.0
YBR073W,0.0791055,
YBR081C,0.6787871,
YBR082C,0.2304522,
YBR083W,0.2584545,
YBR089C-A,0.042717,
YBR095C,0.3318175,
YBR097W,0.5753,
YBR098W,0.0681761,
YBR103W,0.0901978,0.0859076013650662
YBR105C,-0.031413,
YBR107C,0.0426672,
YBR112C,1.04,
YBR114W,0.0982441,
YBR125C,-0.0284,
YBR141C,-0.0174704,
YBR150C,-0.0311112,
YBR165W,0.0561828,
YBR175W,0.1602098,
YBR182C,0.0550469,
YBR186W,0.0809239,
YBR188C,0.1392636,
YBR195C,-0.1030935,0.0859076013650662
YBR212W,-0.0594126,
YBR215W,0.0035265,0.0859076013650659
YBR218C,-0.0562107,0.0859075189974846
YBR225W,0.0138657,
YBR228W,-0.0206155,
YBR231C,0.2164522,
YBR233W,0.0019237,
YBR239C,0.0814102,
YBR240C,0.1148402,
YBR245C,0.102,
YBR258C,0.1060906,
YBR271W,0.0289465,
YBR272C,0.1006424,
YBR274W,0.0942,
YBR275C,0.0273405,
YBR276C,-0.0208,0.0
YBR278W,0.0268333,
YBR279W,0.8042719,
YBR280C,0.0198312,
YBR285W,0.0073598,0.0859076013650662
YBR289W,0.694106,0.085907601365066
YBR297W,0.0778361,
YCL010C,0.2623499,
YCL011C,0.075,0.01296682293704
YCL016C,0.1735871,
YCL024W,0.0107,
YCL029C,0.1328256,
YCL032W,-0.0341372,
YCL037C,0.3711937,
YCL055W,0.1408233,
YCL061C,0.1624341,
YCR008W,0.0304,
YCR014C,0.0097876,
YCR016W,0.0016364,
YCR020C-A,0.0066646,
YCR020W-B,0.1955562,
YCR028C-A,0.2093252,
YCR033W,0.1141061,
YCR065W,0.0216557,
YCR066W,-0.0144031,
YCR073C,-0.0246,
YCR077C,0.249,0.0859076013650656
YCR081W,0.5030847,
YCR084C,0.2012292,
YCR086W,0.3187808,
YCR087C-A,0.0525514,0.0859076013650662
YCR091W,0.0347,
YCR092C,-0.100607,
YCR095C,0.1217885,
YCR106W,0.091722,
YDL002C,0.2221836,
YDL005C,0.4127162,
YDL006W,0.7737,
YDL013W,0.929492,0.0859076013650663
YDL019C,0.035867,
YDL020C,0.1604647,
YDL025C,0.0038,
YDL036C,-0.0214027,
YDL042C,-0.012,
YDL047W,0.6165,
YDL048C,-0.1818013,
YDL051W,-0.0276175,
YDL056W,-0.0427939,
YDL059C,-0.0816913,0.0859076013650662
YDL070W,0.1021761,
YDL074C,0.135718,
YDL076C,0.134349,
YDL079C,0.048,
YDL080C,0.0339063,
YDL088C,0.0320122,0.0
YDL089W,0.0045583,0.0319305398993917
YDL091C,0.0049323,
YDL101C,0.337,
YDL104C,0.1039701,
YDL106C,0.0660486,
YDL122W,-0.0699343,
YDL127W,0.0681704,
YDL134C,-0.0028,
